,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
685,Kieran Tierney\Kieran-Tierney,sco SCO,DF,sco Celtic,19,1997,3,270,90,50.0,3.0,3,,3,0,,0,1.22,3,12,-9,-3.00,-2.33,Matches
686,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,fr Lyon,21,1994,6,450,75,83.3,5.0,5,,3,1,,0,1.33,5,3,+2,+0.40,+0.40,Matches
687,Ömer Toprak\Omer-Toprak,tr TUR,DF,de Leverkusen,27,1989,6,540,90,75.0,6.0,6,,6,0,,1,1.17,7,8,-1,-0.17,-0.67,Matches
688,Fernando Torres\Fernando-Torres,es ESP,FW,es Atlético Madrid,32,1984,9,469,52,43.4,5.2,5,,2,4,,3,2.44,8,4,+4,+0.77,+0.18,Matches
689,Óliver Torres\Oliver-Torres,es ESP,MF,pt Porto,21,1994,7,597,85,82.9,6.6,7,,5,0,,1,1.57,9,4,+5,+0.75,+2.22,Matches
690,Duško Tošić\Dusko-Tosic,rs SRB,DF,tr Beşiktaş,31,1985,6,444,74,82.2,4.9,6,,4,0,,0,1.17,6,13,-7,-1.42,-3.29,Matches
691,Zoran Tošić\Zoran-Tosic,rs SRB,MF,ru CSKA Moscow,29,1987,4,289,72,53.5,3.2,4,,0,0,,1,0.25,2,6,-4,-1.25,-0.53,Matches
692,Cenk Tosun\Cenk-Tosun,tr TUR,FW,tr Beşiktaş,25,1991,6,218,36,40.4,2.4,0,,0,6,,0,1.17,6,3,+3,+1.24,+3.47,Matches
693,Almamy Touré\Almamy-Toure,ml MLI,DF,fr Monaco,20,1996,5,299,60,27.7,3.3,3,,3,2,,3,1.80,7,7,0,0.00,0.00,Matches
694,Kolo Touré\Kolo-Toure,ci CIV,DF,sco Celtic,35,1981,3,270,90,50.0,3.0,3,,3,0,,2,1.17,3,12,-9,-3.00,-2.33,Matches
695,Yaya Touré\Yaya-Toure,ci CIV,MF,eng Manchester City,33,1983,1,90,90,12.5,1.0,1,,1,0,,1,3.00,5,3,+2,+2.00,+1.71,Matches
696,Lucas Tousart\Lucas-Tousart,fr FRA,MF,fr Lyon,19,1997,1,58,58,10.7,0.6,0,,0,1,,5,3.00,2,0,+2,+3.10,+3.10,Matches
697,Youssef Toutouh\Youssef-Toutouh,dk DEN,MF,dk FC Copenhagen,23,1992,6,375,63,69.4,4.2,4,,1,2,,0,1.92,5,2,+3,+0.72,-0.37,Matches
698,Adama Traoré\Adama-Traore,ci CIV,DF,ch Basel,26,1990,6,540,90,100.0,6.0,6,,6,0,,0,0.33,3,12,-9,-1.50,,Matches
699,Adama Traoré\Adama-Traore,ml MLI,MF,fr Monaco,21,1995,1,23,23,2.1,0.3,0,,0,1,,2,0.00,0,1,-1,-3.91,-4.00,Matches
700,Ibrahima Traoré\Ibrahima-Traore,gn GUI,MF,de M'Gladbach,28,1988,4,226,57,41.9,2.5,3,,1,1,,0,1.40,4,3,+1,+0.40,+2.69,Matches
701,Lacina Traoré\Lacina-Traore,ci CIV,FW,ru CSKA Moscow,26,1990,6,360,60,66.7,4.0,4,,1,2,,0,0.50,4,6,-2,-0.50,+1.50,Matches
702,Kevin Trapp\Kevin-Trapp,de GER,GK,fr Paris S-G,26,1990,2,180,90,25.0,2.0,2,,2,0,,6,1.50,5,6,-1,-0.50,-1.50,Matches
703,Kieran Trippier\Kieran-Trippier,eng ENG,DF,eng Tottenham,25,1990,3,270,90,50.0,3.0,3,,3,0,,1,1.33,2,2,0,0.00,0.00,Matches
704,Viktor Tsyhankov\Viktor-Tsyhankov,ua UKR,MF,ua Dynamo Kyiv,18,1997,6,262,44,48.5,2.9,3,,0,3,,0,0.83,3,3,0,0.00,-0.65,Matches
705,Arda Turan\Arda-Turan,tr TUR,FW,es Barcelona,29,1987,5,172,34,19.1,1.9,1,,0,4,,2,2.40,9,1,+8,+4.19,+3.44,Matches
706,Leonardo Ulloa\Leonardo-Ulloa,ar ARG,FW,eng Leicester City,30,1986,4,118,30,13.1,1.3,0,,0,4,,4,1.75,1,2,-1,-0.76,-0.99,Matches
707,Sven Ulreich\Sven-Ulreich,de GER,GK,de Bayern Munich,27,1988,1,90,90,9.7,1.0,1,,1,0,,9,0.00,2,3,-1,-1.00,-2.50,Matches
708,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,es Barcelona,22,1993,8,720,90,80.0,8.0,8,,8,0,,0,1.63,22,11,+11,+1.37,-0.13,Matches
709,Necip Uysal\Necip-Uysal,tr TUR,MF,tr Beşiktaş,25,1991,1,90,90,16.7,1.0,1,,0,0,,3,3.00,3,2,+1,+1.00,+2.20,Matches
710,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,ch Basel,27,1989,6,540,90,100.0,6.0,6,,6,0,,0,0.33,3,12,-9,-1.50,,Matches
711,Germano Vailati\Germano-Vailati,ch SUI,GK,ch Basel,35,1980,0,,,,,0,,0,0,,6,,,,,,,Matches
712,Mathieu Valbuena\Mathieu-Valbuena,fr FRA,FW,fr Lyon,31,1984,3,198,66,36.7,2.2,2,,1,1,,1,1.33,1,0,+1,+0.45,+0.19,Matches
713,Hans Vanaken\Hans-Vanaken,be BEL,MF,be Club Brugge,23,1992,6,365,61,67.6,4.1,4,,3,2,,0,0.00,2,7,-5,-1.23,+2.37,Matches
714,Raphaël Varane\Raphael-Varane,fr FRA,DF,es Real Madrid,23,1993,10,900,90,75.0,10.0,10,,10,0,,0,2.10,27,14,+13,+1.30,+0.10,Matches
715,Jamie Vardy\Jamie-Vardy,eng ENG,FW,eng Leicester City,29,1987,9,772,86,85.8,8.6,9,,5,0,,0,1.89,11,5,+6,+0.70,+4.22,Matches
716,Silvestre Varela\Silvestre-Varela,pt POR,FWMF,pt Porto,31,1985,1,2,2,0.3,0.0,0,,0,1,,0,1.00,0,0,0,0.00,-0.38,Matches
717,Franco Vázquez\Franco-Vazquez,ar ARG,MFFW,es Sevilla,27,1989,5,334,67,46.4,3.7,5,,0,0,,2,2.00,4,0,+4,+1.08,+1.31,Matches
