Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
José Ángel,es ESP,1989.0,2018.0,Eibar,es La Liga,987.0,1634.0,60.4,23043.0,10392.0,280.0,387.0,72.4,452.0,627.0,72.1,246.0,572.0,43.0,7.0,3.3,3.7,45.0,104.0,38.0,25.0,118.0
Gabriele Angella,it ITA,1989.0,2018.0,Udinese,it Serie A,408.0,494.0,82.6,9984.0,3434.0,77.0,96.0,80.2,224.0,249.0,90.0,104.0,144.0,72.2,0.0,0.0,0.0,2.0,24.0,2.0,0.0,33.0
Cristian Ansaldi,ar ARG,1986.0,2018.0,Torino,it Serie A,695.0,972.0,71.5,14251.0,5247.0,277.0,319.0,86.8,290.0,378.0,76.7,118.0,243.0,48.6,3.0,3.2,-0.2,19.0,51.0,28.0,15.0,79.0
Luca Antei,it ITA,1992.0,2018.0,Benevento,it Serie A,315.0,371.0,84.9,6951.0,2289.0,64.0,69.0,92.8,191.0,203.0,94.1,55.0,91.0,60.4,0.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0
Mirco Antenucci,it ITA,1984.0,2018.0,SPAL,it Serie A,475.0,647.0,73.4,6950.0,1042.0,281.0,350.0,80.3,145.0,206.0,70.4,30.0,47.0,63.8,4.0,2.1,1.9,30.0,26.0,14.0,6.0,28.0
Waldemar Anton,de GER,1996.0,2018.0,Hannover 96,de Bundesliga,961.0,1190.0,80.8,20564.0,5993.0,278.0,335.0,83.0,504.0,578.0,87.2,171.0,250.0,68.4,0.0,0.0,0.0,2.0,67.0,3.0,2.0,84.0
Luca Antonelli,it ITA,1987.0,2018.0,Milan,it Serie A,79.0,95.0,83.2,1165.0,412.0,47.0,52.0,90.4,30.0,34.0,88.2,2.0,8.0,25.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,7.0
Michail Antonio,eng ENG,1990.0,2018.0,West Ham,eng Premier League,286.0,481.0,59.5,5056.0,1586.0,157.0,210.0,74.8,81.0,137.0,59.1,40.0,106.0,37.7,1.0,0.6,0.4,12.0,26.0,13.0,7.0,26.0
Mirko Antonucci,it ITA,1999.0,2018.0,Roma,it Serie A,11.0,15.0,73.3,192.0,41.0,5.0,6.0,83.3,4.0,5.0,80.0,1.0,3.0,33.3,1.0,0.2,0.8,2.0,0.0,1.0,1.0,1.0
Vitorino Antunes,pt POR,1987.0,2018.0,Getafe,es La Liga,832.0,1328.0,62.7,16638.0,9040.0,330.0,397.0,83.1,348.0,501.0,69.5,141.0,391.0,36.1,2.0,1.9,0.1,25.0,88.0,37.0,14.0,106.0
Dennis Aogo,de GER,1987.0,2018.0,Stuttgart,de Bundesliga,964.0,1192.0,80.9,19547.0,4760.0,367.0,410.0,89.5,406.0,461.0,88.1,182.0,297.0,61.3,6.0,1.7,4.3,24.0,49.0,14.0,2.0,74.0
Houssem Aouar,fr FRA,1998.0,2018.0,Lyon,fr Ligue 1,1312.0,1538.0,85.3,22771.0,5695.0,567.0,626.0,90.6,556.0,637.0,87.3,143.0,192.0,74.5,4.0,3.9,0.1,35.0,138.0,20.0,1.0,138.0
Alberto Aquilani,it ITA,1984.0,2018.0,Las Palmas,es La Liga,826.0,992.0,83.3,16796.0,3967.0,337.0,390.0,86.4,332.0,378.0,87.8,149.0,208.0,71.6,0.0,0.7,-0.7,10.0,78.0,8.0,0.0,64.0
Mauro Arambarri,uy URU,1995.0,2018.0,Getafe,es La Liga,452.0,658.0,68.7,10622.0,2530.0,127.0,178.0,71.3,201.0,265.0,75.8,119.0,200.0,59.5,2.0,1.1,0.9,7.0,57.0,4.0,1.0,50.0
