Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Robin Olsen,se SWE,GK,1990,38.0,it Roma,28,6.0,6.0,570.0,6.3,9.0,1.42,37.0,29.0,78.4,3.0,0.0,3.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Matches
André Onana,cm CMR,GK,1996,39.0,nl Ajax,22,12.0,12.0,1080.0,12.0,13.0,1.08,50.0,38.0,76.0,6.0,4.0,2.0,4.0,33.3,1.0,1.0,0.0,0.0,0.0,Matches
David Ospina,co COL,GK,1988,40.0,it Napoli,29,6.0,6.0,540.0,6.0,5.0,0.83,21.0,17.0,76.2,2.0,3.0,1.0,2.0,33.3,0.0,0.0,0.0,0.0,,Matches
Ilya Pomazun,ru RUS,GK,1996,41.0,ru CSKA Moscow,21,1.0,1.0,90.0,1.0,3.0,3.0,13.0,10.0,76.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Andriy Pyatov,ua UKR,GK,1984,42.0,ua Shakhtar,34,6.0,6.0,540.0,6.0,16.0,2.67,34.0,20.0,58.8,1.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Sergio Romero,ar ARG,GK,1987,43.0,eng Manchester Utd,31,1.0,1.0,90.0,1.0,2.0,2.0,4.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Danijel Subašić,hr CRO,GK,1984,44.0,fr Monaco,33,1.0,0.0,45.0,0.5,3.0,6.0,5.0,2.0,40.0,,,,0.0,,1.0,0.0,0.0,1.0,,Matches
Wojciech Szczęsny,pl POL,GK,1990,45.0,it Juventus,28,10.0,10.0,900.0,10.0,9.0,0.9,31.0,24.0,74.2,5.0,1.0,4.0,5.0,50.0,2.0,1.0,0.0,1.0,0.0,Matches
Marc-André ter Stegen,de GER,GK,1992,46.0,es Barcelona,26,11.0,11.0,990.0,11.0,9.0,0.82,37.0,28.0,75.7,8.0,2.0,1.0,6.0,54.5,0.0,0.0,0.0,0.0,,Matches
Odisseas Vlachodimos,gr GRE,GK,1994,47.0,pt Benfica,24,6.0,6.0,540.0,6.0,11.0,1.83,36.0,25.0,69.4,2.0,1.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
