Player,Nation,Pos,Squad,Comp,Born,goals_allowed,goals_allowed_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage,season
Vito Mannone,it ITA,GK,Sunderland,eng Premier League,1988,19,2.11,59,40,71.2,1.0,2.0,6.0,2,22.2,2.0,2.0,0.0,0.0,0.0,2017
Federico Marchetti,it ITA,GK,Lazio,it Serie A,1983,22,1.33,76,54,72.4,9.0,4.0,4.0,2,11.8,5.0,1.0,2.0,2.0,66.7,2017
Diego Mariño,es ESP,GK,Sporting Gijón,es La Liga,1990,3,1.5,12,9,83.3,1.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2017
David Marshall,sco SCO,GK,Hull City,eng Premier League,1985,44,2.75,107,63,65.4,1.0,3.0,12.0,0,0.0,7.0,7.0,0.0,0.0,0.0,2017
Emiliano Martínez,ar ARG,GK,Arsenal,eng Premier League,1992,3,1.5,8,5,75.0,1.0,0.0,1.0,1,50.0,1.0,1.0,0.0,0.0,0.0,2017
Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,1992,19,1.36,58,39,70.7,5.0,4.0,5.0,3,21.4,2.0,2.0,0.0,0.0,0.0,2017
Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,1991,25,1.09,69,44,65.2,11.0,4.0,8.0,8,34.8,1.0,1.0,0.0,0.0,0.0,2017
Tom Mickel,de GER,GK,Hamburger SV,de Bundesliga,1989,4,4.0,9,5,55.6,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,1988,30,1.07,82,52,65.9,16.0,7.0,5.0,9,32.1,4.0,2.0,2.0,0.0,50.0,2017
Antonio Mirante,it ITA,GK,Bologna,it Serie A,1983,32,1.53,100,68,69.0,7.0,4.0,10.0,8,38.1,3.0,1.0,1.0,1.0,50.0,2017
Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,1986,3,0.59,26,23,88.5,3.0,1.0,1.0,2,33.3,0.0,0.0,0.0,0.0,,2017
Sven Müller,de GER,GK,Köln,de Bundesliga,1996,0,0.0,4,4,100.0,0.0,1.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2017
Guy N'dy Assembé,cm CMR,GK,Nancy,fr Ligue 1,1986,31,1.37,103,72,73.8,6.0,5.0,12.0,6,26.1,5.0,4.0,1.0,0.0,20.0,2017
Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,1986,31,1.15,119,88,74.8,20.0,4.0,3.0,5,18.5,2.0,1.0,0.0,1.0,0.0,2017
Neto,br BRA,GK,Juventus,it Serie A,1989,2,0.27,15,13,86.7,6.0,1.0,0.0,5,71.4,0.0,0.0,0.0,0.0,,2017
Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,1986,13,0.5,67,54,80.6,19.0,6.0,1.0,14,53.8,0.0,0.0,0.0,0.0,,2017
Kristoffer Nordfeldt,se SWE,GK,Swansea City,eng Premier League,1989,1,1.0,5,4,80.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2017
